category_order,category_chinese,category_slug,item_order,article_title_chinese,title_english,selected_quality,available_qualities,source_size_bytes,source_size_mib,width,height,resolution,duration_seconds,duration_minutes,bit_rate_kbps,codec,article_url,source_mp4_url,recommended_output_path,probe_error
1,大舞,01_dawu,1,大舞整套功法演示,Complete Routine Demonstration,SD,"LD,SD",174469897,166.39,1280,720,1280x720,860.843,14.35,1621.4,h264,https://wtl.sz.gov.cn/ztzl_78228/tszl/wlzgj/dw/content/post_10668604.html,https://gdvideo.southcn.com/bdcddec809f14ac4bf4ab354875c0c2d/e01aa0c573ab4d8cac9fd27ea3815e83-d352d3601bb267b87f0b335a96a49e76-sd.mp4,video/01_dawu/001_complete-routine-demonstration.mp4,
1,大舞,01_dawu,2,1大舞 功法源流,Origin and History,SD,"LD,SD",40821327,38.93,1280,720,1280x720,196.04,3.27,1665.8,h264,https://wtl.sz.gov.cn/ztzl_78228/tszl/wlzgj/dw/content/post_8559043.html,https://gdvideo.southcn.com/44aa8fc28be24587a74319f7e9e1385f/1bfaf5bc59d84f719e2468cc16407721-e241975dd1765cdddac85587b5a8ff94-sd.mp4,video/01_dawu/002_origin-and-history.mp4,
1,大舞,01_dawu,3,2大舞 功法特点,Characteristics,LD,LD,42333384,40.37,960,540,960x540,336.52,5.61,1006.4,h264,https://wtl.sz.gov.cn/ztzl_78228/tszl/wlzgj/dw/content/post_8559042.html,https://gdvideo.southcn.com/665a80d78f974b65810f5ba8f4a8df89/a637f857ce544a66b85ce899cef31cfd-a481ef9625347f8167e6c7a60b5fa9b9-ld.mp4,video/01_dawu/003_characteristics.mp4,
1,大舞,01_dawu,4,3大舞 预备势,Preparatory Posture,SD,"LD,SD",36805799,35.1,1280,720,1280x720,181.461,3.02,1622.6,h264,https://wtl.sz.gov.cn/ztzl_78228/tszl/wlzgj/dw/content/post_8559039.html,https://gdvideo.southcn.com/72124b7857a341a4989b4b1790a855d9/3e8ff8d383e54bb7b83e85e80cf1bfb9-0a95d32525f986dc787639d464f77941-sd.mp4,video/01_dawu/004_preparatory-posture.mp4,
1,大舞,01_dawu,5,4大舞 第一式 昂首势,Form 1 Raise Head,SD,"LD,SD",46908756,44.74,1280,720,1280x720,222.2,3.7,1688.9,h264,https://wtl.sz.gov.cn/ztzl_78228/tszl/wlzgj/dw/content/post_8559038.html,https://gdvideo.southcn.com/c8678f33fe1e4201a16f5a5f93811bfa/f558b51757e146aeaf4ab7dd2363f3d8-a624f27be62380bc98023044abee2f2d-sd.mp4,video/01_dawu/005_form-1-raise-head.mp4,
1,大舞,01_dawu,6,5大舞 第二式 开胯势,Form 2 Open Hips,LD,LD,33998956,32.42,960,540,960x540,259.648,4.33,1047.5,h264,https://wtl.sz.gov.cn/ztzl_78228/tszl/wlzgj/dw/content/post_8559037.html,https://gdvideo.southcn.com/dc217470970e4d1a93c9b1eb059b1894/2f5a558010d94648b8b4c65a65e66d2a-09c0f26f338204e602e87d9f735d2f81-ld.mp4,video/01_dawu/006_form-2-open-hips.mp4,
1,大舞,01_dawu,7,6大舞 第三式 抻腰势,Form 3 Stretch Waist,SD,"LD,SD",84008663,80.12,1280,720,1280x720,405.12,6.75,1658.9,h264,https://wtl.sz.gov.cn/ztzl_78228/tszl/wlzgj/dw/content/post_8559019.html,https://gdvideo.southcn.com/1c420a7bb23849148c8084cf1ff8f54e/64473564cf664c64b2c6989d4fd16755-63da160f0bedc0148ca290e27f1b159e-sd.mp4,video/01_dawu/007_form-3-stretch-waist.mp4,
1,大舞,01_dawu,8,7大舞 第四式 震体势,Form 4 Shake Body,SD,"LD,SD",92927604,88.62,1280,720,1280x720,452.757,7.55,1642.0,h264,https://wtl.sz.gov.cn/ztzl_78228/tszl/wlzgj/dw/content/post_8559011.html,https://gdvideo.southcn.com/bf8b093d65d5414aae976be0c8ccb1f0/24be535a4f2d484480e4c2baf3325240-86edeac2795d97b722c8e3e2ce0bbb1f-sd.mp4,video/01_dawu/008_form-4-shake-body.mp4,
1,大舞,01_dawu,9,8大舞 第五式 揉脊势,Form 5 Rub Spine,LD,LD,28824115,27.49,960,540,960x540,227.307,3.79,1014.5,h264,https://wtl.sz.gov.cn/ztzl_78228/tszl/wlzgj/dw/content/post_8558991.html,https://gdvideo.southcn.com/2fcb53126aba4977952a861a17907125/1688d28ebb6445d5b7c432efdfde4b97-9c6cc6a54372fc2e6540fc324e68c080-ld.mp4,video/01_dawu/009_form-5-rub-spine.mp4,
1,大舞,01_dawu,10,9大舞 第六式 摆臀势,Form 6 Swing Hips,LD,LD,45537710,43.43,960,540,960x540,363.307,6.06,1002.7,h264,https://wtl.sz.gov.cn/ztzl_78228/tszl/wlzgj/dw/content/post_8558979.html,https://gdvideo.southcn.com/9f94b62b838c4713977bd628a218878d/ac26a1b770c9448fa08038423ae43922-ec3fde22c787b1ab2c57a910b1138bd3-ld.mp4,video/01_dawu/010_form-6-swing-hips.mp4,
